,chart_position,track,artist,streams,url
1054142,183,BIG MAC,Greekazo,130843,https://open.spotify.com/track/4vwpdHr42391exUlkLAQyy
1054143,184,Fukushima,Ant Wan,130249,https://open.spotify.com/track/2zJmIfPIIEQ4ABpTAqoHpK
1054150,191,PILOTER,Greekazo,128926,https://open.spotify.com/track/3OejHxEWCbidASTijx8HKU
1054151,192,Take A Chance,Robin Bengtsson,128860,https://open.spotify.com/track/3CiXOKYt9tRSLlDnt0Yxew
1054153,194,Ibiza 2020,Ringnes-Ronny,128094,https://open.spotify.com/track/2neKxnjy6VGzum9qiQJQfa
1054159,200,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,125415,https://open.spotify.com/track/6uYSfre2oDrvGBAWEcnr51
1054214,55,Karantän,Samir & Viktor,264159,https://open.spotify.com/track/1egIWjvXJ8QvEERA4eqX0L
1054272,113,Axlar,Fricky,183158,https://open.spotify.com/track/7ojxSEruarwbBOw8RteTQ0
1054289,130,Automat,Adel,169150,https://open.spotify.com/track/6maXhP8uAVeInx8Axmez0U
1054310,151,All on my mind,Lil Gemi,153770,https://open.spotify.com/track/6PesFS7nL2btxhBiOAXLxS
1054318,159,Chocolate (feat. Fricky),K27,149404,https://open.spotify.com/track/5DiaElhfL5bNmxPyYR5FNe
1054326,167,F.A.M.E (LeyLey),Newkid,144967,https://open.spotify.com/track/1ihZhbG3Ulj5IonDcUC0Yw
1054334,175,En säng av rosor,Newkid,140639,https://open.spotify.com/track/116bEFljiFEDt0zaHYcgWx
1054336,177,Madame,Ant Wan,139387,https://open.spotify.com/track/7b9BLva0O3RlUoj7JSYg3o
1054341,182,Röda himlar,Thomas Stenström,135357,https://open.spotify.com/track/1kgwsfjRZQsySCXNyU8oRM
1054348,189,Dö ung,Hov1,130460,https://open.spotify.com/track/2OQgPPnwvacwYPs4CwRKjK
1054350,191,Coming Home,Dimitri Vangelis & Wyman,129268,https://open.spotify.com/track/09sKH3nKtVZ6ovDReYRAu0
1054352,193,Va Mig,Ant Wan,128295,https://open.spotify.com/track/5HsBJenkDnrzim7o7uKwQq
1054354,195,C'est La Vie,Asme,128180,https://open.spotify.com/track/6W54CskmwH3jKeyG0XEOQJ
1054355,196,Sci-fi,Adel,127511,https://open.spotify.com/track/1JEVK6gqfGPM5CIhGyIVnI
1054381,22,WORKIN,Yasin,545351,https://open.spotify.com/track/3qaaqQxVCUwwoX4sLQnGpk
1054406,47,Vägen med regnbågen över,Håkan Hellström,343016,https://open.spotify.com/track/4ke59yUB03iBppZdVruGFe
1054411,52,Bit dig i läppen,Håkan Hellström,314984,https://open.spotify.com/track/6wIr0iW4NLovsMoKaWdqwM
1054414,55,Studentfylleflaken,Håkan Hellström,308664,https://open.spotify.com/track/4QQSMiHQZkxcOVo2stGJto
1054417,58,Va inte född att följa efter,Håkan Hellström,287221,https://open.spotify.com/track/2hTbbPx7lieHhEFKh9MP7R
1054419,60,Outro,Einár,275685,https://open.spotify.com/track/04xCRonPUDOmZsK6BxVSke
1054421,62,Snälla släck inte ljusen,Håkan Hellström,267350,https://open.spotify.com/track/5EtNZPvv95PJivv2vFtLIu
1054490,131,Hinner Ikapp,Dizzy,172997,https://open.spotify.com/track/03VGlOdEWLqEuVanYDJia0
1054522,163,Dyin,Ant Wan,152790,https://open.spotify.com/track/1MqR3XUQ3vBPPHJ1cWyzEo
1054531,172,Kingdom Come,Anna Bergendahl,148709,https://open.spotify.com/track/0ZoxdGmVIGzxUSi6nkQ98G
1054532,173,Vilsna själar,Owen,148677,https://open.spotify.com/track/15YqYkW9SgA8p1h4cmYu4m
1054538,179,Puss,Ant Wan,146052,https://open.spotify.com/track/0PoPFCqGko4AL75oEvsnyc
1054541,182,Hundra,Adel,142300,https://open.spotify.com/track/2bPzY1cWAMaOuniKXMF2Or
1054547,188,POWER,2.clock,138004,https://open.spotify.com/track/3axccWEcJ57jM1Te7vwnXB
1054548,189,Valborg,Håkan Hellström,137693,https://open.spotify.com/track/0Hz0ySp6XYrBhEQPU16Hz8
1054557,198,PO PO PULL UP,Albin Myers,132951,https://open.spotify.com/track/6MBHUC8RKxwNa4iztDXeJp
1054635,76,Ishacka,ODZ,234552,https://open.spotify.com/track/3QBwDEOXUs44MGt84qvSPB
1054638,79,R.O.D,Matte Caliste,229660,https://open.spotify.com/track/2VcxSIkuXknyBHjlUG9Efh
1054650,91,GoHardOrGoHome,Einár,205909,https://open.spotify.com/track/7A8wqJTG8pG3T3LiUOyGwF
1054712,153,Naken (feat. Timbuktu),Anis Don Demina,155537,https://open.spotify.com/track/1pt0OYOQ1XaXCiNP7eKiCg
1054717,158,Kom hit,ODZ,151571,https://open.spotify.com/track/3w9im7CNjbMgkdJgMAVR29
1054723,164,Nobody Knows,JUNG,147434,https://open.spotify.com/track/4q8IaWCjwaZxhwr5JH67Ol
1054728,169,Beemer,Fricky,144869,https://open.spotify.com/track/07EvwzJtLFpfBLnnuN6hoF
1054729,170,Fler än oss,ODZ,144292,https://open.spotify.com/track/4XFQ41PYP6JJpmV8BGktgk
1054738,179,Kärt återseende,Tjuvjakt,141231,https://open.spotify.com/track/7DCucMNj9riuiPKRgho4PL
1054741,182,sadder badder cooler,Tove Lo,140460,https://open.spotify.com/track/0T5eWUavIN647AcUFXfZve
1054742,183,Show,Adel,140449,https://open.spotify.com/track/1evI7ord01D9BqfRUuIhja
1054743,184,PT:1,Yasin,139325,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
1054748,189,Första Klass,Einár,137421,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK
1054749,190,FLYT,Z.E,137052,https://open.spotify.com/track/2y8AsD76fBMipxfs2cxdXV
1054752,193,Vill du köra,Einár,135837,https://open.spotify.com/track/6kMhYHszeb6ZAm6dOt2tFn
1054756,197,Brave,Hanna Ferm,132464,https://open.spotify.com/track/7oNRF4LJHL5aC2zTU66UN1
1054831,72,Dör för min,Newkid,260216,https://open.spotify.com/track/66MqtwE3HX78U0Fv0KgurR
1054859,100,Beautiful,Kygo,205424,https://open.spotify.com/track/745bEQatiiXDtBe1AdQY2P
1054871,112,Ögonblick,Imenella,199593,https://open.spotify.com/track/6iy3G8awTbXkNF1amHRIlL
1054897,138,DÄRIFRÅN,24K,176322,https://open.spotify.com/track/59Re6GBIwikRavPBbY3xl9
1054931,172,Vi ses snart igen,Magnus Carlson,157211,https://open.spotify.com/track/40t3WJrh177ndENavZ295Q
1054941,182,All My Exes,SVEA,151093,https://open.spotify.com/track/2hEWZiyd2lQLVM0FTwgjpT
1054943,184,"Mi Amor (Blåmärkshårt) [feat. Cherrie, Molly Sandén, STOR]",Miriam Bryant,149996,https://open.spotify.com/track/1vmQXaFNMnSEBLTobPwME5
1054949,190,Birra Birra Bärs,Ringnes-Ronny,147891,https://open.spotify.com/track/4Cc6COku80NI2gUKk4f61g
1054950,191,Everywhere (feat. Maya Avedis),XO Cupid,147401,https://open.spotify.com/track/3sSQDbzb6TrXlsSREouIUk
1054951,192,Dom får mig aldrig levande (feat. Thomas Stenström),Petter,146890,https://open.spotify.com/track/5VabwTVAE28HA5d3W5ftAj
1054958,199,Piga & dräng,Drängarna,143778,https://open.spotify.com/track/0fXANVK5oDCujoed5II6La
