Year,TradeFlowName,TradeValueK,ProductCode,first,second,third,fourth
2009,Export,1353934.825,20,2,20,20,20
2015,Export,418847.187,31,3,31,31,31
2008,Export,536117.535,34,3,34,34,34
2013,Export,434883.944,31,3,31,31,31
2013,Export,0.627,12,1,12,12,12
2015,Export,409227.917,34,3,34,34,34
2011,Import,17423.092,10,1,10,10,10
2011,Import,32984.576,91,9,91,91,91
2018,Export,26068.836,91,9,91,91,91
2010,Import,19789.892,23,2,23,23,23
2011,Import,947.685,21,2,21,21,21
2017,Export,1195191.539,01,0,01,01,01
2016,Import,528617.021,30,3,30,30,30
2019,Import,73158.517,22,2,22,22,22
2010,Export,109296.578,09,0,09,09,09
2013,Import,1579.888,21,2,21,21,21
2014,Export,3935409.559,35,3,35,35,35
2008,Import,18957.016,91,9,91,91,91
2015,Export,274253.45,10,1,10,10,10
2016,Import,7152364.228,28,2,28,28,28
2010,Export,104279.412,39,3,39,39,39
2011,Import,50544.176,27,2,27,27,27
2009,Import,34220.314,27,2,27,27,27
2019,Import,863136.721,36,3,36,36,36
2015,Import,4262.794,31,3,31,31,31
2011,Import,16239.39,24,2,24,24,24
2010,Import,418213.363,26,2,26,26,26
2016,Import,8227.54,91,9,91,91,91
2013,Export,246669.072,38,3,38,38,38
2016,Import,4713.89,31,3,31,31,31
2018,Export,140225.161,09,0,09,09,09
2011,Export,99208.708,25,2,25,25,25
2017,Import,39130.636,02,0,02,02,02
2009,Export,125293.657,22,2,22,22,22
2016,Import,1247655.171,36,3,36,36,36
2009,Export,492010.196,34,3,34,34,34
2010,Import,1015167.437,34,3,34,34,34
2018,Export,17356.157,27,2,27,27,27
2008,Export,53494.745,14,1,14,14,14
2019,Import,640.364,21,2,21,21,21
2010,Export,57820.68,14,1,14,14,14
2012,Export,59217.711,02,0,02,02,02
2010,Export,296971.006,29,2,29,29,29
2013,Import,829948.722,30,3,30,30,30
2017,Export,32364.41,23,2,23,23,23
2018,Export,3860086.544,13,1,13,13,13
2019,Import,1160473.218,12,1,12,12,12
2011,Import,9330.672,31,3,31,31,31
2008,Import,895610.409,33,3,33,33,33
2008,Export,188635.441,23,2,23,23,23
2016,Export,3471193.417,37,3,37,37,37
2015,Export,140280.818,25,2,25,25,25
2012,Export,446905.747,31,3,31,31,31
2011,Export,4410231.335,33,3,33,33,33
2010,Export,4104970.571,13,1,13,13,13
2016,Import,96835.399,14,1,14,14,14
2010,Import,1655143.667,38,3,38,38,38
2012,Export,1266586.9,28,2,28,28,28
2014,Export,4832725.11,33,3,33,33,33
2012,Export,1699962.263,01,0,01,01,01
2013,Import,235224.709,32,3,32,32,32
2018,Import,49246.792,39,3,39,39,39
2019,Export,2540141.483,37,3,37,37,37
2017,Import,95612.055,14,1,14,14,14
2009,Export,70282.965,09,0,09,09,09
2016,Import,709110.083,34,3,34,34,34
2011,Export,2021.465,21,2,21,21,21
2009,Import,9784.226,24,2,24,24,24
2019,Export,35238.504,91,9,91,91,91
2009,Import,1035852.015,12,1,12,12,12
2018,Export,1703258.214,28,2,28,28,28
2018,Export,623874.586,30,3,30,30,30
2011,Import,566092.606,29,2,29,29,29
2011,Export,699395.316,36,3,36,36,36
2014,Export,1224699.777,26,2,26,26,26
2019,Export,163914.505,29,2,29,29,29
2018,Import,264451.165,26,2,26,26,26
2014,Export,410500.466,34,3,34,34,34
2010,Import,1150961.491,12,1,12,12,12
2012,Export,2849930.24,20,2,20,20,20
2008,Import,6478734.957,35,3,35,35,35
2018,Import,76170.987,25,2,25,25,25
2019,Export,4974182.422,13,1,13,13,13
2014,Import,1573348.445,37,3,37,37,37
2011,Import,38438.888,02,0,02,02,02
2008,Export,3455404.218,37,3,37,37,37
2013,Import,1725424.01,37,3,37,37,37
2014,Export,403844.169,29,2,29,29,29
2015,Export,3844027.794,33,3,33,33,33
2018,Import,146293.547,14,1,14,14,14
2018,Import,51761.621,02,0,02,02,02
2019,Import,649406.312,34,3,34,34,34
