Year,ProductCode,TradeFlowName,TradeValueK,first,second,third,fourth
2018,2086,Export,3409.414,2,20,208,2086
2010,2329,Import,379.37,2,23,232,2329
2018,2429,Import,194.559,2,24,242,2429
2008,2822,Export,94328.464,2,28,282,2822
2013,2371,Export,1670.222,2,23,237,2371
2010,2448,Import,34.211,2,24,244,2448
2011,2673,Export,7052.759,2,26,267,2673
2008,2045,Import,556.464,2,20,204,2045
2010,2141,Export,792.632,2,21,214,2141
2017,3721,Import,221412.95,3,37,372,3721
2014,2822,Export,80293.035,2,28,282,2822
2016,2836,Export,219.004,2,28,283,2836
2019,2085,Import,562474.811,2,20,208,2085
2009,2032,Export,243.385,2,20,203,2032
2014,3357,Export,25467.778,3,33,335,3357
2013,2782,Import,772.816,2,27,278,2782
2015,1455,Export,35493.117,1,14,145,1455
2009,2325,Import,532.347,2,23,232,2325
2013,3261,Export,193.024,3,32,326,3261
2010,2439,Import,63.508,2,24,243,2439
2012,3334,Import,198.36,3,33,333,3334
2012,2385,Export,26.049,2,23,238,2385
2015,1429,Import,249.025,1,14,142,1429
2015,2252,Export,4232.224,2,22,225,2252
2017,2873,Import,67572.306,2,28,287,2873
2018,0131,Export,0.768,0,01,013,0131
2015,2721,Export,166.481,2,27,272,2721
2016,1099,Import,2073.57,1,10,109,1099
2009,2095,Export,84799.161,2,20,209,2095
2015,2835,Import,195000.138,2,28,283,2835
2013,3751,Import,49506.097,3,37,375,3751
2016,2449,Export,4210.096,2,24,244,2449
2018,3845,Import,119346.589,3,38,384,3845
2012,0912,Import,1714.478,0,09,091,0912
2016,3143,Import,23.645,3,31,314,3143
2016,2231,Export,2329.332,2,22,223,2231
2019,2675,Import,2923.173,2,26,267,2675
2008,3731,Import,193.539,3,37,373,3731
2008,0175,Import,12751.955,0,01,017,0175
2011,2098,Export,1006.457,2,20,209,2098
2019,3142,Export,113669.946,3,31,314,3142
2008,2023,Import,77987.171,2,20,202,2023
2013,2843,Export,14275.263,2,28,284,2843
2009,2834,Export,43482.943,2,28,283,2834
2011,9900,Export,503.619,9,99,990,9900
2010,3845,Import,188121.476,3,38,384,3845
2013,2822,Export,42373,2,28,282,2822
2009,0272,Export,1723.289,0,02,027,0272
2016,2542,Export,1348.548,2,25,254,2542
2014,1475,Export,0.413,1,14,147,1475
2012,0119,Export,512.066,0,01,011,0119
2014,3944,Export,852.779,3,39,394,3944
2008,2436,Export,72159.266,2,24,243,2436
2011,2241,Import,25786.148,2,22,224,2241
2018,2296,Import,4953.624,2,22,229,2296
2014,2672,Export,2553.127,2,26,267,2672
2016,3354,Export,440.344,3,33,335,3354
2019,2861,Export,33481.375,2,28,286,2861
2009,0179,Import,1.581,0,01,017,0179
2008,3261,Export,10782.832,3,32,326,3261
2016,2298,Import,3079.135,2,22,229,2298
2011,2369,Export,1882.742,2,23,236,2369
2011,2323,Export,2.918,2,23,232,2323
2011,2386,Export,67.944,2,23,238,2386
2009,0119,Import,568.031,0,01,011,0119
2009,2822,Import,187283.192,2,28,282,2822
2019,2062,Import,2134.475,2,20,206,2062
2011,2493,Export,22372.121,2,24,249,2493
2008,2421,Export,143424.7,2,24,242,2421
2013,3621,Import,324559.736,3,36,362,3621
2019,0179,Export,948696.256,0,01,017,0179
2015,2677,Export,2.163,2,26,267,2677
2017,3829,Export,4316.445,3,38,382,3829
2013,2386,Export,854.42,2,23,238,2386
2013,3949,Import,16047.376,3,39,394,3949
2010,2515,Export,401.672,2,25,251,2515
2018,2131,Import,34.191,2,21,213,2131
2008,3721,Import,921092.114,3,37,372,3721
2009,2022,Import,1180.071,2,20,202,2022
2016,3915,Export,62062.273,3,39,391,3915
2016,2385,Export,7.797,2,23,238,2385
2009,2426,Export,17319.987,2,24,242,2426
2017,2066,Export,102008.135,2,20,206,2066
2009,1459,Import,7402.793,1,14,145,1459
2019,2041,Export,504.644,2,20,204,2041
2015,2391,Export,201.651,2,23,239,2391
2013,2591,Export,7250.978,2,25,259,2591
2015,2673,Export,10298.875,2,26,267,2673
2018,2611,Export,1057441.311,2,26,261,2611
2011,2221,Export,2754.858,2,22,222,2221
2010,3581,Export,0.2,3,35,358,3581
2014,0271,Export,28.96,0,02,027,0271
2016,3253,Import,39.333,3,32,325,3253
