Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValueK,Quantity,ProductDescription,QtyUnit,NetWeightKG
IU,BRA,119,Brazil,USA,United States,2017,Import,5,6127.865,6044268,"Cash grains, nspf",Kg,6044268
IU,BRA,119,Brazil,USA,United States,2018,Export,6,449.65,474728,"Cash grains, nspf",Kg,488528
IU,BRA,119,Brazil,USA,United States,2018,Import,5,781.226,927790,"Cash grains, nspf",Kg,927790
IU,BRA,119,Brazil,USA,United States,2019,Export,6,951.279,1170209,"Cash grains, nspf",Kg,1171214
IU,BRA,119,Brazil,USA,United States,2019,Import,5,1720.938,1854595,"Cash grains, nspf",Kg,1854595
IU,BRA,13,Brazil,USA,United States,2008,Export,6,324638.758,84111537,"Field crops, except cash grains",Kg,84111537
IU,BRA,13,Brazil,USA,United States,2008,Import,5,44690.765,23853337,"Field crops, except cash grains",Kg,23853337
IU,BRA,13,Brazil,USA,United States,2009,Export,6,315040.793,72079412,"Field crops, except cash grains",Kg,72079412
IU,BRA,13,Brazil,USA,United States,2009,Import,5,21490.436,12300454,"Field crops, except cash grains",Kg,12300454
IU,BRA,13,Brazil,USA,United States,2010,Export,6,247620.141,56757351,"Field crops, except cash grains",Kg,56757351
IU,BRA,13,Brazil,USA,United States,2010,Import,5,37844.358,19006834,"Field crops, except cash grains",Kg,19006834
IU,BRA,13,Brazil,USA,United States,2011,Export,6,284495.912,62341727,"Field crops, except cash grains",Kg,62341727
IU,BRA,13,Brazil,USA,United States,2011,Import,5,357922.097,131961997,"Field crops, except cash grains",Kg,131961997
IU,BRA,13,Brazil,USA,United States,2012,Export,6,375370.234,79689085,"Field crops, except cash grains",Kg,79689085
IU,BRA,13,Brazil,USA,United States,2012,Import,5,11549.819,1451809,"Field crops, except cash grains",Kg,1451809
IU,BRA,13,Brazil,USA,United States,2013,Export,6,413820.757,77410265,"Field crops, except cash grains",Kg,77410265
IU,BRA,13,Brazil,USA,United States,2013,Import,5,34997.832,13239717,"Field crops, except cash grains",Kg,13239717
IU,BRA,13,Brazil,USA,United States,2014,Export,6,238060.866,49199652,"Field crops, except cash grains",Kg,49199652
IU,BRA,13,Brazil,USA,United States,2014,Import,5,45414.783,17605732,"Field crops, except cash grains",Kg,17605732
IU,BRA,13,Brazil,USA,United States,2015,Export,6,232827.752,54010469,"Field crops, except cash grains",Kg,54010469
IU,BRA,13,Brazil,USA,United States,2015,Import,5,13353.607,1329280,"Field crops, except cash grains",Kg,1329280
IU,BRA,13,Brazil,USA,United States,2016,Export,6,262074.775,61759655,"Field crops, except cash grains",Kg,61759655
IU,BRA,13,Brazil,USA,United States,2016,Import,5,45332.942,25661848,"Field crops, except cash grains",Kg,25661848
IU,BRA,13,Brazil,USA,United States,2017,Export,6,202109.192,46240350,"Field crops, except cash grains",Kg,46240350
IU,BRA,13,Brazil,USA,United States,2017,Import,5,67881.931,33871479,"Field crops, except cash grains",Kg,33871479
IU,BRA,13,Brazil,USA,United States,2018,Export,6,195523.724,48917220.25,"Field crops, except cash grains",Kg,48897284
IU,BRA,13,Brazil,USA,United States,2018,Export,6,0.671,0,"Field crops, except cash grains",N.Q.,
IU,BRA,13,Brazil,USA,United States,2018,Import,5,40979.466,16942391,"Field crops, except cash grains",Kg,16942391
IU,BRA,13,Brazil,USA,United States,2019,Export,6,199144.036,60818450.99,"Field crops, except cash grains",Kg,60775208
IU,BRA,13,Brazil,USA,United States,2019,Import,5,17183.107,2258187,"Field crops, except cash grains",Kg,2258187
IU,BRA,131,Brazil,USA,United States,2008,Export,6,2157.266,1776078,Cotton and cottonseed,Kg,1776078
IU,BRA,131,Brazil,USA,United States,2008,Import,5,35185.834,22388756,Cotton and cottonseed,Kg,22388756
